,comentario,toxico,homofobico,obsceno,insulto,racismo,misogino,xenofobia
19264,"Luba, sobre o assunto da Kéfera:
Não é sobre o Homem não poder argumentar sobre x assunto. É sobre o direito prioritário de fala das mulheres quando a situação é uma discussão sobre o feminismo, já que se trata de uma luta delas (que visa a igualdade de direitos para ambos os sexos). É o mesmo que você tentar explicar o racismo para uma pessoa negra. 
Você pode, e deve, argumentar sim! Mas espere o bastão da fala chegar até você. Quando você esta em uma roda, onde tem mulheres e homens, e o assunto é feminismo, abaixe seu ego e escute! Elas tem algo pra te dizer. E somente depois, se plausível, argumente. 
'VOCÊ É UM HOMEM LOGO VOCÊ  NÃO PODE FALAR SOBRE ISSO COMIGO' HA HA HA mensdrama. Como ser homem cisgênero é difícil né? 

Disse ter visto/ouvido sobre a historia meio por cima né, teve tempo pra pesquisar sobre 'argumentum ad hominem'. Mas não parou pra pensar que o programa estava dando um lugar de fala para aquelas mulheres.  

E, baby, cá entre nós... QUE EGO! Defende tanto a liberdade de expressão, democracia, e tudo que fez foi tentar invalidar o comentário da Kéfera. Só faz provar que o que ela diz tem coerência. NADA DE NOVO SOB O SOL.",1.0,0.0,1.0,0.0,0.0,0.0,0.0
12997,"Faz tempo que não assisto novelas e não tenho MT repertório, mas me veio à tona os relacionamentos e casais da novela Pérola Negra (Com Patrícia de Sabrit).
Assisti quando eu era criança e na época eu já pensava:
Ué, mas só tem esse homem nessa novela?

Pq Eva, Pérola e Malvina queriam ele ... 

E um cara Afs. Escroto.

E no fim das contas a Pérola ficou com ele.
Até hj eu não me conformo com isso.


😂😂😂😂😂😂😂",1.0,0.0,1.0,0.0,0.0,0.0,0.0
669,"Na Moda sim, acontecem muitas situações destas! É um meio bastante complicado ( bastidores ) e inclusive para as meninas de 14/15 anos nos Estados Unidos. Nos caso dos homens é exactamente como o rapaz está falando. Muitos trabalhos se perdem por  causa de muita bichona louca!",1.0,1.0,0.0,0.0,0.0,0.0,0.0
9058,bicha da justiça é otimo! amo,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17861,Que porra é essa Luba?,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9455,Eu tenho uma raiva desses boiola😈,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13946,"sou vegetariana à cinco meses e pretendo ser vegana o mais rápido possível, mas é um pouco difícil aqui na minha cidade, mal encontro leite que não seja de vaca! sou vegetariana exclusivamente por causa dos animais, percebi o quão hipócrita é amar uns e comer outros! me sinto leve, sem culpa, sinto-me mais conectada com todos os animais. sempre que vejo uma galinha eu quero abraça-la, mas elas saem correndo sempre rsrsr. amo essas nenem. ah! e meu marido não é vegetariano nem vegano e vivemos muito bem.",1.0,0.0,1.0,0.0,0.0,1.0,0.0
13325,"por isso que eu AMO e prefiro mil vezes os livros do Rick Riordan, ele tem personagens negros, personagem surdo, muçulmana, lesbicas, gays, protagonista pansexual em uma das séries, personagem gender fluid, um monte de mulheres fortes.
gente leiam percy Jackson, leiam os heróis do olimpo e leiam magnus chase (magnus chase é o q mais tem representatividade de todas as series deles e é maravilhoso demais, mas as outras também tem pra caralho tb)
amo mto hp e tb cresci lendo e vendo mas me decepciona demais nesse quesito",1.0,0.0,1.0,0.0,0.0,0.0,0.0
8762,"Amei o vídeo, temos os msm pensamentos das divas fabricadas pro pop, bjosss do seu fã carioca",1.0,0.0,0.0,0.0,0.0,0.0,1.0
16316,"no Amino ainda não saturou, tô arrombada man",1.0,0.0,1.0,0.0,0.0,0.0,0.0
14566,agora eu quero saber por que os haters ainda estao a qui falando mal do Luba.O luba pode ser bichinha mais ninguem pediu a opiniao desses lixos que so sabe se fazer de bomsao.E uma pena que eles nao sabe limpar nem o proprio cu.entao tratem de saber limpar e deixem o luba queto,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8923,"eu estava no metro sentado de perna cruzada, bem barbezinha , esperando o metro chegar , toda linda , ai passa um cara e fala viado mata, ai que odeio , mas eu continuei bem bem barbezinha sentada, a violência ta mais próximo que imaginamos, por isso temos que resistir , e ocupar tb os espaços públicos. amo vc jessiquetessssssssssssss. bix",1.0,1.0,1.0,0.0,0.0,0.0,0.0
